"End_Year","Group","Member","Start_Year"
"9999","379","229","1973"
"9999","379","255","1958"
"9999","379","256","1958"
"9999","391","9","1900"
"9999","391","14","1900"
"9999","391","19","1900"
"9999","391","21","1900"
"9999","391","23","1900"
"9999","391","40","1900"
"9999","391","44","1900"
"9999","391","48","1900"
"9999","391","49","1900"
"9999","391","56","1900"
"9999","391","58","1900"
"9999","391","60","1900"
"9999","391","86","1900"
"9999","391","89","1900"
"9999","391","91","1900"
"9999","391","93","1900"
"9999","391","95","1900"
"9999","391","109","1900"
"9999","391","138","1900"
"9999","391","157","1900"
"9999","391","166","1900"
"9999","391","169","1900"
"9999","391","170","1900"
"9999","391","207","1900"
"9999","391","220","1900"
"9999","391","234","1900"
"9999","391","236","1900"
"9999","393","48","1900"
"9999","393","60","1900"
"9999","393","89","1900"
"9999","393","95","1900"
"9999","393","157","1900"
"9999","394","8","1900"
"9999","394","12","1900"
"9999","394","14","1900"
"9999","394","23","1900"
"9999","394","55","1900"
"9999","394","86","1900"
"9999","394","91","1900"
"9999","394","109","1900"
"9999","394","142","1900"
"9999","394","188","1900"
"9999","394","189","1900"
"9999","394","191","1900"
"9999","394","207","1900"
"9999","394","220","1900"
"9999","395","19","1900"
"9999","395","44","1900"
"9999","395","58","1900"
"9999","395","170","1900"
"9999","395","236","1900"
"9999","399","32","1900"
"9999","399","37","1900"
"9999","399","39","1900"
"9999","399","46","1900"
"9999","399","61","1900"
"9999","399","74","1900"
"9999","411","16","1900"
"9999","411","38","1900"
"9999","411","100","1900"
"9999","411","117","1900"
"9999","411","120","1900"
"9999","412","26","1900"
"9999","412","28","1900"
"9999","412","101","1900"
"9999","412","115","1900"
"9999","412","120","1900"
"9999","412","131","1900"
"9999","412","171","1900"
"9999","412","200","1900"
"9999","412","216","1900"
"9999","412","237","1900"
"9999","434","53","1900"
"9999","434","107","1900"
"9999","434","133","1900"
"9999","434","158","1900"
"9999","434","175","1900"
"9999","434","195","1900"
"9999","434","217","1900"
"9999","434","233","1900"
"9999","437","16","1900"
"9999","437","18","1900"
"9999","437","38","1900"
"9999","437","100","1900"
"9999","437","132","1900"
"9999","437","149","1900"
"9999","437","165","1900"
"9999","454","4","1900"
"9999","454","124","1900"
"9999","454","136","1900"
"9999","454","143","1900"
"9999","454","222","1900"
"9999","455","7","1900"
"9999","455","29","1900"
"9999","455","32","1900"
"9999","455","37","1900"
"9999","455","39","1900"
"9999","455","46","1900"
"9999","455","61","1900"
"9999","455","74","1900"
"9999","455","184","1900"
"9999","455","193","1900"
"9999","455","250","1900"
"9999","456","29","1900"
"9999","456","184","1900"
"9999","456","250","1900"
"9999","457","35","1900"
"9999","457","39","1900"
"9999","457","75","1900"
"9999","457","133","1900"
"9999","457","136","1900"
"9999","457","158","1900"
"9999","457","175","1900"
"9999","457","195","1900"
"9999","457","233","1900"
"9999","458","35","1900"
"9999","458","53","1900"
"9999","458","75","1900"
"9999","458","81","1900"
"9999","458","90","1900"
"9999","458","107","1900"
"9999","458","123","1900"
"9999","458","133","1900"
"9999","458","136","1900"
"9999","458","158","1900"
"9999","458","159","1900"
"9999","458","175","1900"
"9999","458","195","1900"
"9999","458","197","1900"
