"End_Year","Group","Member","Start_Year"
"9999","401","95","1900"
"9999","401","107","1900"
"9999","401","109","1900"
"9999","401","112","1900"
"9999","401","114","1900"
"9999","401","115","1900"
"9999","401","120","1900"
"9999","401","122","1900"
"9999","401","123","1900"
"9999","401","129","1900"
"9999","401","130","1900"
"9999","401","132","1900"
"9999","401","133","1900"
"9999","401","136","1900"
"9999","401","137","1900"
"9999","401","141","1900"
"9999","401","143","1900"
"9999","401","144","1900"
"9999","401","147","1900"
"9999","401","149","1900"
"9999","401","158","1900"
"9999","401","165","1900"
"9999","401","170","1900"
"9999","401","175","1900"
"9999","401","176","1900"
"9999","401","178","1900"
"9999","401","184","1900"
"9999","401","188","1900"
"9999","401","189","1900"
"9999","401","191","1900"
"9999","401","195","1900"
"9999","401","197","1900"
"9999","401","201","1900"
"2011","401","206","1900"
"9999","401","209","1900"
"9999","401","215","1900"
"9999","401","217","1900"
"9999","401","219","2023"
"9999","401","220","1900"
"9999","401","222","1900"
"9999","401","226","1900"
"9999","401","227","1900"
"9999","401","233","1900"
"9999","401","236","1900"
"9999","401","238","1900"
"9999","401","244","2020"
"1989","401","246","1900"
"1989","401","247","1900"
"9999","401","249","1990"
"9999","401","250","1900"
"9999","401","251","1900"
"9999","401","276","1900"
"9999","401","290","2011"
"9999","401","298","2011"
"9999","402","1","1900"
"9999","402","2","1900"
"9999","402","18","1900"
"9999","402","19","1900"
"9999","402","20","1900"
"9999","402","29","1900"
"9999","402","37","1900"
"9999","402","39","1900"
"9999","402","52","1900"
"9999","402","108","1900"
"9999","402","113","1900"
"9999","402","120","1900"
"9999","402","122","1900"
"9999","402","130","1900"
"9999","402","133","1900"
"9999","402","141","1900"
"9999","402","146","1900"
"9999","402","149","1900"
"9999","402","154","1900"
"9999","402","158","1900"
"9999","402","169","1900"
"9999","402","181","1900"
"9999","402","184","1900"
"9999","402","208","1900"
"9999","402","209","1900"
"9999","402","213","1900"
"9999","402","226","1900"
"9999","402","233","1900"
"9999","402","235","1900"
"9999","402","238","1900"
"9999","402","251","1900"
"9999","402","290","2012"
"9999","412","26","1984"
"9999","412","28","1997"
"9999","412","101","1967"
"9999","412","115","1999"
"9999","412","120","1997"
"9999","412","131","1967"
"9999","412","171","1967"
"9999","412","176","2025"
"9999","412","200","1967"
"9999","412","216","1967"
"9999","412","237","1995"
"9999","415","2","1971"
"9999","415","7","1994"
"9999","415","16","1975"
"9999","415","25","1991"
"9999","415","28","1987"
"9999","415","29","1971"
"9999","415","37","1975"
"9999","415","39","1971"
"9999","415","45","1977"
"9999","415","53","1971"
"1992","415","62","1971"
"9999","415","72","1982"
"9999","415","75","1975"
"9999","415","83","1986"
"9999","415","90","1971"
"9999","415","93","1971"
"9999","415","115","1991"
"9999","415","120","1971"
"9999","415","122","1971"
"9999","415","123","1990"
"9999","415","129","1991"
"9999","415","130","1971"
"9999","415","133","1971"
"9999","415","136","1986"
"9999","415","144","1988"
"9999","415","149","1971"
"9999","415","158","1971"
"9999","415","175","1981"
"9999","415","176","2003"
"9999","415","178","1994"
"9999","415","184","1971"
"9999","415","195","2000"
"9999","415","197","1982"
"9999","415","201","1971"
"2011","415","206","1971"
"9999","415","215","1971"
"9999","415","217","1982"
"9999","415","226","1971"
"9999","415","227","1986"
"9999","415","233","1971"
"9999","415","238","1971"
"1989","415","246","1971"
"1989","415","247","1971"
"9999","415","249","1971"
"9999","415","250","1991"
"9999","415","251","1991"
"9999","415","276","1971"
"9999","415","290","2012"
"9999","415","298","1971"
"9999","434","53","1900"
"9999","434","107","1900"
"9999","434","133","1900"
"9999","434","158","1900"
"9999","434","175","1900"
"9999","434","195","1900"
"9999","434","217","1900"
"9999","434","233","1900"
"9999","469","1","1900"
"9999","469","52","1900"
"9999","469","57","1900"
"9999","469","63","1900"
"9999","469","73","1900"
"9999","469","108","1900"
"9999","469","113","1900"
"9999","469","119","1900"
"9999","469","126","1900"
"9999","469","146","1900"
"9999","469","185","1900"
"9999","469","208","1900"
"9999","469","213","1900"
"9999","469","228","1900"
"9999","469","230","1900"
"9999","469","235","1900"
"9999","474","1","1992"
"9999","474","52","1992"
"9999","474","57","1992"
"9999","474","73","1992"
"9999","474","108","1992"
"9999","474","113","1992"
