"Identifier","Name_Ar","Name_Cn","Name_En","Name_Es","Name_Fr","Name_Ru","Short_Name_Ar","Short_Name_Cn","Short_Name_En","Short_Name_Es","Short_Name_Fr","Short_Name_Ru"
"512","المجلس الدولى لاستكشاف البحار","国际海洋勘探理事会","International Council for the Exploration of the Sea","Consejo Internacional para la Exploración del Mar","Conseil international pour l'exploration de la mer","Международный совет по исследованию моря","","","ICES","CIEM","CIEM","ИКЕС"
"513","هيئة مصايد أسماك التونة فى المحيط الهندى","印度洋金枪鱼委员会","Indian Ocean Tuna Commission","Comisión del Atún para el Océano Indico","Commission des thons de l'océan Indien","Комиссия по индоокеанскому тунцу","","","IOTC","IOTC","CTOI","ИОТК"
"514","منظمة مصائد أسماك شمال غرب الأطلسي","西北大西洋渔业组织","Northwest Atlantic Fisheries Organization","Organización de Pesquerías del Atlántico Noroeste","Organisation des pêches de l'Atlantique Nord-Ouest","Организация по рыболовству в северо-западной части Атлантического океана","","","NAFO","NAFO","NAFO","НАФО"
"515","منظمة صيانة أسماك السلمون فى شمال الأطلسى","北大西洋鲑鱼保护组织","North Atlantic Salmon Conservation Organization","Organización para la Conservación del Salmón del Norte del Atlántico","Organisation pour la conservation du saumon de l'Atlantique Nord","Организация по сохранению североатлантического лосося","","","NASCO","NASCO","NASCO","НАСКО"
"516","هيئة الأسماك البحرية النهرية السرء في شمال المحيط الهادي","北太平洋溯河鱼类委员会","North Pacific Anadromous Fish Commission","Comisión de Peces Anádromos del Pacífico Septentrional","Commission des poissons anadromes du Pacifique Nord","Комиссия по анадромным рыбам северной части Тихого океана","","","NPAFC","NPAFC","NPAFC","НПАФК"
"517","الهيئة الاقليمية لمصايد الأسماك","区域渔业委员会","Regional Commission for Fisheries","Comisión Regional de Pesca","Commission régionale des pêches","Региональная комиссия по рыбному хозяйству","","","RECOFI","COREPESCA","CORÉPÊCHES","РКРХ"
"518","","分区域渔业委员会","Subregional Fisheries Commission","Comisión Subregional de Pesca","Commission sous-régionale des pêches","","","","SRFC","CSRP","CSRP",""
"519","هيئة مصايد أسماك غرب وسط الأطلسى","中西部大西洋渔业委员会","Western Central Atlantic Fishery Commission","Comisión de Pesca para el Atlántico Centro-Occidental","Commission des pêches pour l'Atlantique Centre-Ouest","Комиссия по рыболовству в западной части Центральной Атлантики","","","WECAFC","COPACO","COPACO","ВЕКАФК"
"520","مركز تنمية مصايد الأسماك فى جنوب شرق آسيا","东南亚渔业发展中心","Southeast Asian Fisheries Development Centre","Centro de desarrollo de la pesca en Asia sudoriental","Centre de développement des pêches de l'Asie du Sud-Est","Центр развития рыбного хозяйства в Юго-Восточной Азии","","","SEAFDEC","SEAFDEC","SEAFDEC","СЕАФДЕК"
"521","هيئة مصايد أسماك شمال شرق الأطلسى","东北大西洋渔业委员会","North East Atlantic Fisheries Commission","Comisión de Pesquerías del Atlántico Nordeste","Commission des pêches de l'Atlantique Nord-Est","Комиссия по рыболовству в северо-восточной части Атлантического океана","","","NEAFC","CPANE","CPANE","НЕАФК"
"522","لجنة مصايد أسماك المنطقة الوسطى الغربية لخليج غينيا","几内亚湾中西部渔业委员会","Fishery Committee for the West Central Gulf of Guinea","Fishery Committee for the West Central Gulf of Guinea","Comité des Pêches du Centre-Ouest du Golfe de Guinée","Комитет по рыболовству в западной части центральной акватории Гвинейского залива","","","FCWC","FCWC","CPCO","ФКВК"
"523","شبكة مراكز تربية الأحياء المائية في إقليم آسيا والمحيط الهادئ","亚洲及太平洋区域水产养殖中心网","Network of Aquaculture Centres in Asia and the Pacific","Red de centros de acuicultura de Asia y el Pacífico","Réseau de centres d'aquaculture pour la région Asie et Pacifique","Сеть центров по аквакультуре в Азиатско-Тихоокеанском регионе","","亚太水产养殖中心网","NACA","NACA","RCAAP","НАКА"
"524","شبكة تربية الأحياء المائية في أفريقيا","非洲水产养殖网","Aquaculture Network for Africa","Red de acuicultura para África","Réseau aquacole régional pour l'Afrique","Сеть аквакультуры для Африки","ANAF","","ANAF","ANAF","ANAF","АНАФ"
"526","منظمة مصايد الأسماك في جنوب شرق المحيط الأطلسي","东南大西洋渔业组织","South East Atlantic Fisheries Organization","Organización de la Pesca del Atlántico Suroriental","Organisation des pêches de l'Atlantique du Sud-Est","Организация по рыболовству в Юго-Восточной Атлантике","","","SEAFO","SEAFO","OPASE","СЕАФО"
"527","هيئة مصايد أسماك جنوب غرب المحيط الهندي","西南印度洋渔业委员会","South West Indian Ocean Fisheries Commission","Comisión de Pesca para el Océano Índico Sudoccidental","Commission des pêches pour le Sud-Ouest de l'océan Indien","Комиссия по рыболовству в юго-западной части Индийского океана","SWIOFC","SWIOFC","SWIOFC","SWIOFC","CPSOOI","SWIOFC"
