"Group","Member","Start Year","End Year"
"511","193","1900","9999"
"511","195","1900","9999"
"511","202","1900","9999"
"511","212","1900","9999"
"511","220","1900","9999"
"511","222","1900","9999"
"511","223","1900","9999"
"511","224","1900","9999"
"511","231","1900","9999"
"511","234","1900","9999"
"511","236","1900","9999"
"512","255","1900","9999"
"512","33","1900","9999"
"512","54","1900","9999"
"512","63","1900","9999"
"512","67","1900","9999"
"512","68","1900","9999"
"512","79","1900","9999"
"512","99","1900","9999"
"512","104","1900","9999"
"512","119","1900","9999"
"512","150","1900","9999"
"512","162","1900","9999"
"512","173","1900","9999"
"512","174","1900","9999"
"512","185","1900","9999"
"512","203","1900","9999"
"512","210","1900","9999"
"512","229","1900","9999"
"512","231","1900","9999"
"513","10","1900","9999"
"513","38","1900","9999"
"513","41","1900","9999"
"513","214","1900","9999"
"513","45","1900","9999"
"513","178","1900","9999"
"513","68","1900","9999"
"513","90","1900","9999"
"513","96","1900","9999"
"513","100","1900","9999"
"513","102","1900","9999"
"513","110","1900","9999"
"513","114","1900","9999"
"513","117","1900","9999"
"513","128","1900","9999"
"513","129","1900","9999"
"513","131","1900","9999"
"513","137","1900","9999"
"513","221","1900","9999"
"513","165","1900","9999"
"513","171","1900","9999"
"513","196","1900","9999"
"513","206","1996","2011"
"513","216","1900","9999"
"513","229","1900","9999"
"514","33","1900","9999"
"514","49","1900","9999"
"514","64","1900","9999"
"514","85","1900","9999"
"514","99","1900","9999"
"514","110","1900","9999"
"514","117","1900","9999"
"514","162","1900","9999"
"514","185","1900","9999"
"514","190","1900","9999"
"514","230","1900","9999"
"514","231","1900","9999"
"515","33","1900","9999"
"515","64","1900","9999"
"515","85","1900","9999"
"515","162","1900","9999"
"515","185","1900","9999"
"515","231","1900","9999"
"516","33","1900","9999"
"516","110","1900","9999"
"516","117","1900","9999"
"516","185","1900","9999"
"516","231","1900","9999"
"517","13","1900","9999"
"517","102","1900","9999"
"517","103","1900","9999"
"517","118","1900","9999"
"517","221","1900","9999"
"517","179","1900","9999"
"517","194","1900","9999"
"517","225","1900","9999"
"518","35","1900","9999"
"518","75","1900","9999"
"518","90","1900","9999"
"518","136","1900","9999"
"518","175","1900","9999"
"518","195","1900","9999"
"518","197","1900","9999"
"519","8","1900","9999"
"519","12","1900","9999"
"519","14","1900","9999"
"519","21","1900","9999"
"519","23","1900","9999"
"511","60","2014","9999"
"511","123","2014","9999"
"511","286","2014","9999"
"511","380","2014","9999"
"519","48","1900","9999"
"501","380","1900","9999"
"502","380","1900","9999"
"503","62","1900","9999"
"507","380","1900","9999"
"509","380","1900","9999"
"513","132","2011","9999"
"513","144","2012","9999"
"513","201","2014","9999"
"513","298","2012","9999"
"513","249","2012","9999"
"513","380","1995","9999"
"514","380","1900","9999"
"515","380","1900","9999"
"519","380","1900","9999"
"521","380","1900","9999"
"526","7","2006","9999"
"526","110","2010","9999"
"526","117","2011","9999"
"526","147","2002","9999"
"526","162","2002","9999"
"526","202","2008","9999"
"526","380","2002","9999"
"503","298","1900","9999"
"523","10","1900","9999"
"523","16","1900","9999"
"523","28","1900","9999"
"523","38","1900","9999"
"523","41","1900","9999"
"523","96","1900","9999"
"523","100","1900","9999"
"523","101","1900","9999"
"523","102","1900","9999"
"523","115","1900","9999"
"523","116","1900","9999"
"523","120","1900","9999"
"523","131","1900","9999"
"523","132","1900","9999"
"523","149","1900","9999"
"523","165","1900","9999"
"523","171","1900","9999"
"523","216","1900","9999"
"523","237","1900","9999"
"524","32","1900","9999"
"524","81","1900","9999"
"524","114","1900","9999"
"524","133","1900","9999"
"524","144","1900","9999"
"524","159","1900","9999"
"524","195","1900","9999"
"524","215","1900","9999"
"524","226","1900","9999"
"524","251","1900","9999"
"524","276","1900","9999"
"519","17","1900","9999"
"519","22","1900","9999"
"519","36","1900","9999"
"519","69","1900","9999"
"519","87","1900","9999"
