FAO_Code,Identifier,Name_En,Name_Es,Name_Fr
2.006.47,50071,Miscellaneous marine crustaceans,Crustáceos marinos diversos,Crustacés marins divers
2.021.41,50073,Freshwater crustaceans,Crustáceos de agua dulce,Crustacés d'eau douce
2.021.42,50074,"Crabs, sea-spiders","Cangrejos, centollas","Crabes, araign;ees de mer"
2.021.43,50075,"Lobsters, spiny-rock lobsters","Bogavantes, langostas","Homards, langoustes"
2.021.44,50076,"King crabs, squat-lobsters","Cangrejos reales, galeteidos","Crabes royaux, galatées"
2.021.45,50077,"Shrimps, prawns","Gambas, camarones",Crevettes
2.021.47,50078,Miscellaneous marine crustaceans,Crustáceos marinos diversos,Crustacés marins divers
2.039.41,50080,Freshwater crustaceans,Crustáceos de agua dulce,Crustacés d'eau douce
2.039.42,50081,"Crabs, sea-spiders","Cangrejos, centollas","Crabes, araign;ees de mer"
2.039.43,50082,"Lobsters, spiny-rock lobsters","Bogavantes, langostas","Homards, langoustes"
2.039.44,50083,"King crabs, squat-lobsters","Cangrejos reales, galeteidos","Crabes royaux, galatées"
2.039.45,50084,"Shrimps, prawns","Gambas, camarones",Crevettes
2.039.47,50085,Miscellaneous marine crustaceans,Crustáceos marinos diversos,Crustacés marins divers
5.005.52,50088,"Abalones, winkles, conchs","Orejas de mar, bígaros, estrombos","Ormeaux, bigorneaux, strombes"
5.005.53,50089,Oysters,Ostras,Huîtres
5.005.54,50090,Mussels,Mejillones,Moules
5.005.55,50091,"Scallops, pectens",Vieiras,Coquilles St. Jacques
5.005.56,50092,"Clams, cockles, arkshells","Almejas, berberechos, arcas","Clams, coques, arches"
5.005.57,50093,"Squids, cuttlefishes, octopuses","Calamares, jibias, polpos","Encornets, seiches, poulpes"
5.005.76,50094,Sea-urchins and other echinoderms,Erizos de mar y otros equinodermos,Oursins et autres échinodermes
5.005.77,50095,Miscellaneous molluscs and aquatic invertebrates,Moluscos y otros invertebratos acuáticos,Mollusques et autres invertébrés aquatiques
5.020.52,50097,"Abalones, winkles, conchs","Orejas de mar, bígaros, estrombos","Ormeaux, bigorneaux, strombes"
5.020.53,50098,Oysters,Ostras,Huîtres
5.020.54,50099,Mussels,Mejillones,Moules
5.020.55,50100,"Scallops, pectens",Vieiras,Coquilles St. Jacques
5.020.56,50101,"Clams, cockles, arkshells","Almejas, berberechos, arcas","Clams, coques, arches"
5.020.57,50102,"Squids, cuttlefishes, octopuses","Calamares, jibias, polpos","Encornets, seiches, poulpes"
5.020.76,50103,Sea-urchins and other echinoderms,Erizos de mar y otros equinodermos,Oursins et autres échinodermes
5.020.77,50104,Miscellaneous molluscs and aquatic invertebrates,Moluscos y otros invertebratos acuáticos,Mollusques et autres invertébrés aquatiques
5.039.52,50106,"Abalones, winkles, conchs","Orejas de mar, bígaros, estrombos","Ormeaux, bigorneaux, strombes"
5.039.53,50107,Oysters,Ostras,Huîtres
5.039.54,50108,Mussels,Mejillones,Moules
5.039.55,50109,"Scallops, pectens",Vieiras,Coquilles St. Jacques
5.039.56,50110,"Clams, cockles, arkshells","Almejas, berberechos, arcas","Clams, coques, arches"
5.039.57,50111,"Squids, cuttlefishes, octopuses","Calamares, jibias, polpos","Encornets, seiches, poulpes"
5.039.76,50112,Sea-urchins and other echinoderms,Erizos de mar y otros equinodermos,Oursins et autres échinodermes
5.039.77,50113,Miscellaneous molluscs and aquatic invertebrates,Moluscos y otros invertebratos acuáticos,Mollusques et autres invertébrés aquatiques
7.099.67,50116,Meals,Harina,Farine
7.099.68,50117,Oils,Aceite,Huiles
7.099.69,50118,"Fish solubles, silages","Solubles, ensilados de pescado","Solubilisés, ensilages de poisson"
7.099.82,50119,Corals and shells,Coral y conchas,Corail et coquillages
7.099.83,50120,Sponges,Esponjas,Eponges
7.099.94,50121,Seaweeds and aquatic plants,"Algas, plantas aquaticas","Algues, plantes aquatiques"
7.099.98,50122,Waste and other inedible products,Desechos y otros productos non comestibles,Déchets et autres produits non comestibles
