"Acronym","ConceptChild","ConceptParent","Description_En","Description_Es","Description_Fr","Group_Filter","Identifier","Name_En","Name_Es","Name_Fr","Sort"
"OCEAN_SUB_AREA","14","10","FAO subareas by ocean","Subáreas FAO por océano","Sous-zones FAO par océan","","28","FAO subareas by ocean","Subáreas FAO por océano","Sous-zones FAO par océan","208"
"OCEAN_DIVISION","15","10","FAO divisions by ocean","Divisiones FAO por océano","Divisions FAO par océan","","29","FAO divisions by ocean","Divisiones FAO por océano","Divisions FAO par océan","209"
"YEARBOOK_GROUP_ISSCAAP","2","22","Species selection groups of Yearbook/SOFIA","Selección de especies de Anuario/SOFIA","Selection d'espèces de l'Annuaire/SOFIA","1801,1805,1806","30","Species selection groups of Yearbook/SOFIA","Selección de especies de Anuario/SOFIA","Selection d'espèces de l'Annuaire/SOFIA","400"
"ISSCAAP_DIVISION_SPECIES","2","23","Species by ISSCAAP division","Especies por división CEIUAPA","Espèces par division CSITAPA","","31","Species by ISSCAAP division","Especies por división CEIUAPA","Espèces par division CSITAPA","401"
"ISSCAAP_GROUP_SPECIES","2","24","Species by ISSCAAP group","Especies por grupo CEIUAPA","Espèces par groupe CSITAPA","","32","Species by ISSCAAP group","Especies por grupo CEIUAPA","Espèces par groupe CSITAPA","402"
"MAIN_GROUP_SPECIES","2","25","Species by main group","Especies por grupo principal","Espèces par groupe principal","","33","Species by main group","Especies por grupo principal","Espèces par groupe principal","404"
"ORDER_SPECIES","2","26","Species by order","Especies por orden","Espèces par ordre","","34","Species by order","Especies por orden","Espèces par ordre","405"
"FAMILY_SPECIES","2","27","Species by family","Especies por familia","Espèces par famille","","35","Species by family","Especies por familia","Espèces par famille","406"
"ORDER_FAMILY","27","26","Family by order","Familias por orden","Familles par ordre","","36","Family by order","Familias por orden","Familles par ordre","407"
"MAIN_GROUP_ORDER","26","25","Orders by main group","Ordenes por grupo principal","Ordres par groupe principal","","37","Orders by main group","Ordenes por grupo principal","Ordres par groupe principal","408"
"FAOSTAT_GROUP_SPECIES","2","29","Species by FAOSTAT group","Especies por grupo FAOSTAT","Espèces par groupe FAOSTAT","","38","Species by FAOSTAT group","Especies por grupo FAOSTAT","Espèces par groupe FAOSTAT","409"
"MAIN_GROUP_FAMILY","27","25","Families by main group","Familias por grupo principal","Familles par groupe principal","","39","Families by main group","Familias por grupo principal","Familles par groupe principal","410"
"CPC_DIVISION_CPC_GROUP","36","35","Groups by division of the Central Product Classification","Grupos por divisiones de Clasificación Central de Productos","Groupes par division de la Classification centrale de produits","","40","CPC groups by division","Grupos por divisiones de CPC","Groupes par division de la CPC","1010"
