"Acronym","EBX_Attribute","FishStat_Concept","Identifier","IsCode","IsName","Sort"
"CODE","236","56","236","true","false","102"
"EBXID","237","56","237","true","false","107"
"NAME","240","57","240","false","true","101"
"CODE","241","57","241","true","false","102"
"EBXID","242","57","242","true","false","107"
"NAME","245","58","245","false","true","101"
"ALPHA_CODE","246","58","246","true","false","102"
"EBXID","247","58","247","true","false","107"
"NAME","250","59","250","false","true","101"
"ALPHA_CODE","251","59","251","true","false","102"
"EBXID","252","59","252","true","false","107"
"NAME","255","34","255","false","true","101"
"CODE","256","34","256","true","false","102"
"EBXID","257","34","257","true","false","107"
"NAME","271","83","271","false","true","101"
"EBXID","272","83","272","true","false","107"
"NAME","275","84","275","false","true","101"
"EBXID","276","84","276","true","false","107"
"NAME","301","71","301","false","true","101"
"EBXID","302","71","302","true","false","107"
"ISO_2_CODE","303","71","303","false","false","104"
"OFFICIAL_NAME","304","71","304","false","false","108"
"UN_CODE","305","71","305","true","false","102"
"ISO_3_CODE","306","71","306","false","false","103"
"ALPHA12_CODE","307","71","307","false","false","105"
"NAME","311","72","311","false","true","101"
"EBXID","312","72","312","true","false","107"
"ISO_2_CODE","313","72","313","false","false","104"
"OFFICIAL_NAME","314","72","314","false","false","108"
"UN_CODE","315","72","315","true","false","102"
"ISO_3_CODE","316","72","316","false","false","103"
"ALPHA12_CODE","317","72","317","false","false","105"
"NAME","320","73","320","false","true","101"
"EBXID","321","73","321","true","false","107"
"UN_CODE","322","73","322","true","false","102"
"NAME","325","74","325","false","true","101"
"EBXID","326","74","326","true","false","107"
"UN_CODE","327","74","327","true","false","102"
"NAME","330","75","330","false","true","101"
"EBXID","331","75","331","true","false","107"
"UN_CODE","332","75","332","true","false","102"
"NAME","335","76","335","false","true","101"
"EBXID","336","76","336","true","false","107"
"UN_CODE","337","76","337","true","false","102"
"NAME","341","77","341","false","true","101"
"SHORT_NAME","343","77","343","false","false","103"
"EBXID","344","77","344","true","false","107"
"NAME","345","78","345","false","true","101"
"SHORT_NAME","347","78","347","false","false","103"
"EBXID","348","78","348","true","false","107"
"NAME","351","79","351","false","true","101"
"SHORT_NAME","352","79","352","false","false","103"
"EBXID","353","79","353","true","false","107"
"NAME","355","80","355","false","true","101"
"SHORT_NAME","352","80","356","true","false","107"
"EBXID","356","80","357","true","false","107"
"PERIOD","900","9000","900","false","false","0"
"VALUE","900","9000","901","false","false","0"
"SYMBOL","900","9000","902","false","false","0"
"EBXID","9001","97","9001","true","false","101"
"NAME","9002","97","9002","true","true","101"
"EBXID","9006","98","9006","true","false","101"
"NAME","9007","98","9007","true","true","101"
"EBXID","9011","91","9011","true","false","101"
"NAME","9012","91","9012","true","true","101"
"EBXID","9021","92","9021","true","false","101"
"NAME","9022","92","9022","true","true","101"
"EBXID","2","93","9031","true","false","101"
"NAME","1","93","9032","true","true","103"
"UN_CODE","5","93","9033","true","false","102"
"ISO_2_CODE","3","93","9034","false","false","104"
"ISO_3_CODE","306","93","9035","false","false","103"
"OFFICIAL_NAME","314","93","9036","false","false","108"
"ALPHA12_CODE","307","93","9037","false","false","105"
"EBXID","2","94","9041","true","false","101"
"NAME","1","94","9042","true","true","103"
"UN_CODE","5","94","9043","true","false","102"
"ISO_2_CODE","3","94","9044","false","false","104"
"ISO_3_CODE","306","94","9045","false","false","103"
"OFFICIAL_NAME","314","94","9046","false","false","108"
"ALPHA12_CODE","307","94","9047","false","false","105"
"NAME","15","95","9051","false","true","101"
"EBXID","16","95","9052","true","false","107"
"UN_CODE","17","95","9053","true","false","102"
"NAME","15","96","9061","false","true","101"
"EBXID","16","96","9062","true","false","107"
"UN_CODE","17","96","9063","true","false","102"
"NAME","10","99","9071","false","true","101"
"EBXID","11","99","9072","true","false","107"
"UN_CODE","12","99","9073","true","false","102"
"NAME","10","100","9081","false","true","101"
"EBXID","11","100","9082","true","false","107"
"UN_CODE","12","100","9083","true","false","102"
"EBXID","8001","9999","9991","true","false","0"
"CODE","8003","9999","9992","true","false","0"
"NAME","8002","9999","9993","false","true","0"
"SHORT_NAME","8005","9999","9994","false","true","0"
