"Acronym","Code","Description","Name_En","Name_Es","Name_Fr"
"FREQ_DISS","11","Time interval at which the statistics are disseminated over a given time period. The frequencies with which data are released (e.g. monthly, quarterly, yearly), which could be different from the frequency of data collection.","Frequency of dissemination","Frecuencia de publicación","Fréquence de publication"
"ACCESS_CLARITY","12","Accessibility refers to the set of conditions and modalities by which users can obtain, use and interpret data. Clarity refers to the availability of various dissemination formats and adequate documentation: whether data are accompanied with appropriate metadata, illustrations such as graphs and maps, whether information on their quality are also available (including limitation in use), and the extent to which additional assistance is provided. (Information relating to this concept is provided by reporting on its sub-concepts)","Accessibility and clarity","Accesibilidad y claridad","Accessibilité et clarté"
"NEWS_REL","12.1","Information on regular or ad-hoc press releases or other kind of similar releases linked to data or metadata.","News release","Comunicado de prensa","Communiqué de presse"
"PUBLICATIONS","12.2","Regular or ad-hoc publications in which the data are made available to the public. This includes references to the most important data dissemination done through paper or online publications (e.g. yearbook), including a summary identification and information on availability of the publication means.","Publications","Publicaciones","Publications"
"ONLINE_DB","12.3","Information and weblink to the online database in which the disseminated data can be accessed.
As per FAO Statistical Standard on Quality indicators for external users , quantitative measures of accessibility of the data (in terms of number of visits and downloads) should be provided here.","Online database","Base de datos en línea","Base de données en ligne"
"MICRO_DAT_ACC","12.4","Information on whether microdata are also disseminated which applies to only some statistical process and data sets. Description of if and how the data set is accessible as micro-data (e.g. weblink to the Food and Agriculture Microdata catalogue: http://www.fao.org/food-agriculture-microdata/en/).","Micro-data access","Acceso a microdatos","Accès aux micro-données"
"DISS_OTHER","12.5","References to the other main data dissemination outlets. This may include other publications, policy papers, and also as a sub-element, ""Supplementary data"", i.e. any customized tabulation that can be provided to meet specific requests (including information on procedures for obtaining access to these data).","Other formats","Otros formatos","Autres formats"
"DOC_METHOD","12.6","Descriptive text and/or references to methodological documents available to better understand the methods used to produce the statistical output(s) and the resulting data. In particular, list reference metadata files, methodological papers, summary documents and handbooks relevant to the statistical process(es) applied and statistical output(s) produced. Methodological publications should be cited using FAOSTYLE:
Online publication
Author. Year of publication. Publication title. Series title, Series number. Place of publication, Publisher. URL
Print publication
Author. Year of publication. Publication title. Series title, Series number. Place of publication, Publisher.","Documentation on methodology","Documentación sobre la metodología","Documentation sur la méthodologie"
"RELEVANCE","13","Degree to which the statistics produced, including through the use new data sources, meet the current and potential data user needs. The potential added value of a new data source (most probably a non-statistical data source) to an existing statistical product is thus an important element to highlight (e.g. detailed data on particular sub-groups, or information on grid-level instead of district level or potential replacement of questions of a survey through information of the new data source). Relevance also refers to the processes for monitoring the relevance and practical usefulness of existing statistics in meeting users' needs and how these processes impact the development of statistical programmes. (Information relating to this concept is provided by reporting on its sub-concepts)","Relevance","Relevancia","Pertinence"
"USER_NEEDS","13.1","Description of requirements with respect to the statistical output. With respect to the statistical data to be provided, the main data users (e.g. official authorities, the general public or others) and user needs should be stated e.g. official authorities with the needs for policy indicators; e.g. the World Trade Organization uses the data for its trade policy review, etc.). The information is typically collected through user satisfaction surveys, user consultations and feedback from domain specific working groups. If available, a classification of users should be reported indicating their relative importance and an assessment of the key outputs desired by different categories of users.","User needs","Necesidades del usuario","Besoins des utilisateurs"
