"Code","Identifier","Name_En","Name_Es","Name_Fr"
"USD","464","US Dollar","Dólar de EE.UU.","Dollar des États-Unis"
"UGS","465","Uganda Shilling","",""
"UGX","466","Uganda Shilling","Chelín ugandés","Shilling ougandais"
"UYP","467","Uruguayan Peso","",""
"UZS","468","Uzbekistan Sum","Sum Uzbekistán","Soum d'Ouzbékistan"
"VUV","469","Vatu","Vatu","Vatu"
"KRW","470","Won","Won","Won"
"YDD","471","Yemeni Dinar","",""
"YER","472","Yemeni Rial","Rial yemení","Riyal du Yémen"
"JPY","473","Yen","Yen","Yen"
"CNY","474","Yuan Renminbi","Yuan Renminbi","Yuan Ren-Min-Bi"
"YUN","475","Yugoslavian Dinar","",""
"ZRZ","476","Zaire","",""
"ZWD","477","Zimbabwe Dollar","Dólar de Zimbabwe","Dollar du Zimbabwe"
"PLZ","478","Zloty","",""
"PLN","479","Zloty","Zloty","Zloty"
"MGA","480","Malagasy Ariary","Ariary malgache","Malagasy ariary"
"SRD","481","Suriname Dollar","Dólar surinamés","Dollar surinamais"
"RON","482","Romanian Leu","Leu rumano","Leu roumain"
"TRY","483","Turkish Lira","Lira turca","Livre turque"
"RSD","484","Serbian Dinar","Dinar serbio","Dinar serbe"
"AZN","485","Azerbaijanian Manat","Manat","Manat"
"AFN","486","Afghani","Afghani","Afghani"
"BOV","487","Mvdol","Mvdol","Mvdol"
"GHS","488","Ghana Cedi","Cedi de Ghana","Ghana Cedi"
"VEF","489","Bolívar","Bolívar","Bolívar"
"MZN","490","Metical","Metical","Metical"
"SDG","491","Sudanese Pound","Libra sudanesa","Livre soudanaise"
"ZWR","492","Zimbabwe Dollar","Dólar de Zimbabwe","Dollar du Zimbabwe"
"SSP","493","South Sudanese Pound","Libra sursudanesa","Livre sud-soudanaise"
"TMT","494","Turkmenistan New Manat","Nuevo manat de Turkmenistán","Nouveau manat du Turkménistan"
"ZMW","495","Zambian Kwacha","Kwacha zambiano","Kwacha zambien"
"ZWL","496","Zimbabwe Dollar","Dólar de Zimbabwe","Dollar du Zimbabwe"
"LYP","497","Libyan pound","Libia libra","Livre libyenne"
"NZP","498","New Zealand pound","Libra de Nueva Zelanda","Livre néo-zélandaise"
"XBW","499","British West Indies dollar","Dólar de las Indias Occidentales Británicas","Dollar des Indes britanniques"
"XPG","500","Persian Gulf rupee","Rupia del Golfo","Roupie du Golfe"
"ILP","501","Israeli Pound","Libra de Israel","Livre israélienne"
"AUP","502","Australian Pound","Libra australiana","Livre australienne"
"FJP","503","Fijian Pound","Libra de Fiji","Livre de Fidji"
"BYN","504","Belarusian Ruble","Rublo belaruso","Rouble bélorussien"
"MRU","505","Ouguiya","Ouguiya","Ouguiya"
"STN","506","Dobra","Dobra","Dobra"
"VES","507","Bolívar soberano","Bolívar soberano","Bolivar souverain"
"ZWN","508","Zimbabwe Dollar","Dólar de Zimbabwe","Dollar du Zimbabwe"
"SLE","509","Leone","Leone","Leone"
"VED","510","Bolívar soberano (Nueva Expresión Monetaria)","Bolívar soberano (Nueva Expresión Monetaria)","Bolivar souverain (Nueva Expresión Monetaria)"
