"AREA","en","es","fr","ORIGINAL_CODE","PARENT"
"87_3_11","87.3.11","87.3.11","87.3.11","87.3.11",
"87_3_12","87.3.12","87.3.12","87.3.12","87.3.12",
"87_3_13","87.3.13","87.3.13","87.3.13","87.3.13",
"87_3_21","87.3.21","87.3.21","87.3.21","87.3.21",
"87_3_22","87.3.22","87.3.22","87.3.22","87.3.22",
"87_3_23","87.3.23","87.3.23","87.3.23","87.3.23",
"58_4_3_a","Indian Antarctic 58.4.3.a","Ind Antar 58.4.3.a","Ind Antar 58.4.3.a","58.4.3.a",
"58_4_3_b","Indian Antarctic 58.4.3.b","Ind Antar 58.4.3.b","Ind Antar 58.4.3.b","58.4.3.b",
"21_0_A","Atlantic, Northwest / 21.0.A","Atl NW / 21.0.A","Atl NW / 21.0.A","21.0.A","21_0"
"21_0_B","Atlantic, Northwest / 21.0.B","Atl NW / 21.0.B","Atl NW / 21.0.B","21.0.B","21_0"
"21_1_A","Atlantic, Northwest / 21.1.A","Atl NW / 21.1.A","Atl NW / 21.1.A","21.1.A","21_1"
"21_1_B","Atlantic, Northwest / 21.1.B","Atl NW / 21.1.B","Atl NW / 21.1.B","21.1.B","21_1"
"21_1_C","Atlantic, Northwest / 21.1.C","Atl NW / 21.1.C","Atl NW / 21.1.C","21.1.C","21_1"
"21_1_D","Atlantic, Northwest / 21.1.D","Atl NW / 21.1.D","Atl NW / 21.1.D","21.1.D","21_1"
"21_1_E","Atlantic, Northwest / 21.1.E","Atl NW / 21.1.E","Atl NW / 21.1.E","21.1.E","21_1"
"21_1_F","Atlantic, Northwest / 21.1.F","Atl NW / 21.1.F","Atl NW / 21.1.F","21.1.F","21_1"
"21_2_G","Atlantic, Northwest / 21.2.G","Atl NW / 21.2.G","Atl NW / 21.2.G","21.2.G","21_2"
"21_2_H","Atlantic, Northwest / 21.2.H","Atl NW / 21.2.H","Atl NW / 21.2.H","21.2.H","21_2"
"21_2_J","Atlantic, Northwest / 21.2.J","Atl NW / 21.2.J","Atl NW / 21.2.J","21.2.J","21_2"
"21_3_K","Atlantic, Northwest / 21.3.K","Atl NW / 21.3.K","Atl NW / 21.3.K","21.3.K","21_3"
"21_3_L","Atlantic, Northwest / 21.3.L","Atl NW / 21.3.L","Atl NW / 21.3.L","21.3.L","21_3"
"21_3_M","Atlantic, Northwest / 21.3.M","Atl NW / 21.3.M","Atl NW / 21.3.M","21.3.M","21_3"
"21_3_N","Atlantic, Northwest / 21.3.N","Atl NW / 21.3.N","Atl NW / 21.3.N","21.3.N","21_3"
"21_3_O","Atlantic, Northwest / 21.3.O","Atl NW / 21.3.O","Atl NW / 21.3.O","21.3.O","21_3"
"21_3_P","Atlantic, Northwest / 21.3.P","Atl NW / 21.3.P","Atl NW / 21.3.P","21.3.P","21_3"
"21_4_R","Atlantic, Northwest / 21.4.R","Atl NW / 21.4.R","Atl NW / 21.4.R","21.4.R","21_4"
"21_4_S","Atlantic, Northwest / 21.4.S","Atl NW / 21.4.S","Atl NW / 21.4.S","21.4.S","21_4"
"21_4_T","Atlantic, Northwest / 21.4.T","Atl NW / 21.4.T","Atl NW / 21.4.T","21.4.T","21_4"
"21_4_V","Atlantic, Northwest / 21.4.V","Atl NW / 21.4.V","Atl NW / 21.4.V","21.4.V","21_4"
"21_4_W","Atlantic, Northwest / 21.4.W","Atl NW / 21.4.W","Atl NW / 21.4.W","21.4.W","21_4"
"21_4_X","Atlantic, Northwest / 21.4.X","Atl NW / 21.4.X","Atl NW / 21.4.X","21.4.X","21_4"
"21_5_Y","Atlantic, Northwest / 21.5.Y","Atl NW / 21.5.Y","Atl NW / 21.5.Y","21.5.Y","21_5"
"21_5_Z","Atlantic, Northwest / 21.5.Z","Atl NW / 21.5.Z","Atl NW / 21.5.Z","21.5.Z","21_5"
"21_6_A","Atlantic, Northwest / 21.6.A","Atl NW / 21.6.A","Atl NW / 21.6.A","21.6.A","21_6"
"21_6_B","Atlantic, Northwest / 21.6.B","Atl NW / 21.6.B","Atl NW / 21.6.B","21.6.B","21_6"
"21_6_C","Atlantic, Northwest / 21.6.C","Atl NW / 21.6.C","Atl NW / 21.6.C","21.6.C","21_6"
"21_6_D","Atlantic, Northwest / 21.6.D","Atl NW / 21.6.D","Atl NW / 21.6.D","21.6.D","21_6"
"21_6_E","Atlantic, Northwest / 21.6.E","Atl NW / 21.6.E","Atl NW / 21.6.E","21.6.E","21_6"
"21_6_F","Atlantic, Northwest / 21.6.F","Atl NW / 21.6.F","Atl NW / 21.6.F","21.6.F","21_6"
"21_6_G","Atlantic, Northwest / 21.6.G","Atl NW / 21.6.G","Atl NW / 21.6.G","21.6.G","21_6"
"21_6_H","Atlantic, Northwest / 21.6.H","Atl NW / 21.6.H","Atl NW / 21.6.H","21.6.H","21_6"
"27_14_a","Atlantic, Northeast / 27.14.a","Atlántico, nordeste / 27.14.a","Atlantique, nord-est / 27.14.a","27.14.a","27_14"
"27_14_b","Atlantic, Northeast / 27.14.b","Atlántico, nordeste / 27.14.b","Atlantique, nord-est / 27.14.b","27.14.b","27_14"
"27_2_a","Atlantic, Northeast / 27.2.a","Atlántico, nordeste / 27.2.a","Atlantique, nord-est / 27.2.a","27.2.a","27_2"
"27_2_b","Atlantic, Northeast / 27.2.b","Atlántico, nordeste / 27.2.b","Atlantique, nord-est / 27.2.b","27.2.b","27_2"
"27_3_a","Atlantic, Northeast / 27.3.a","Atlántico, nordeste / 27.3.a","Atlantique, nord-est / 27.3.a","27.3.a","27_3"
"27_3_bc","Atlantic, Northeast / 27.3.b,c","Atlántico, nordeste / 27.3.b,c","Atlantique, nord-est / 27.3.b,c","27.3.b,c","27_3"
"27_3_d","Atlantic, Northeast / 27.3.d","Atlántico, nordeste / 27.3.d","Atlantique, nord-est / 27.3.d","27.3.d","27_3"
"27_4_a","Atlantic, Northeast / 27.4.a","Atlántico, nordeste / 27.4.a","Atlantique, nord-est / 27.4.a","27.4.a","27_4"
"27_4_b","Atlantic, Northeast / 27.4.b","Atlántico, nordeste / 27.4.b","Atlantique, nord-est / 27.4.b","27.4.b","27_4"
"27_4_c","Atlantic, Northeast / 27.4.c","Atlántico, nordeste / 27.4.c","Atlantique, nord-est / 27.4.c","27.4.c","27_4"
"27_5_a","Atlantic, Northeast / 27.5.a","Atlántico, nordeste / 27.5.a","Atlantique, nord-est / 27.5.a","27.5.a","27_5"
"27_5_b","Atlantic, Northeast / 27.5.b","Atlántico, nordeste / 27.5.b","Atlantique, nord-est / 27.5.b","27.5.b","27_5"
"27_6_a","Atlantic, Northeast / 27.6.a","Atlántico, nordeste / 27.6.a","Atlantique, nord-est / 27.6.a","27.6.a","27_6"
"27_6_b","Atlantic, Northeast / 27.6.b","Atlántico, nordeste / 27.6.b","Atlantique, nord-est / 27.6.b","27.6.b","27_6"
"27_7_a","Atlantic, Northeast / 27.7.a","Atlántico, nordeste / 27.7.a","Atlantique, nord-est / 27.7.a","27.7.a","27_7"
"27_7_b","Atlantic, Northeast / 27.7.b","Atlántico, nordeste / 27.7.b","Atlantique, nord-est / 27.7.b","27.7.b","27_7"
"27_7_c","Atlantic, Northeast / 27.7.c","Atlántico, nordeste / 27.7.c","Atlantique, nord-est / 27.7.c","27.7.c","27_7"
"27_7_d","Atlantic, Northeast / 27.7.d","Atlántico, nordeste / 27.7.d","Atlantique, nord-est / 27.7.d","27.7.d","27_7"
"27_7_e","Atlantic, Northeast / 27.7.e","Atlántico, nordeste / 27.7.e","Atlantique, nord-est / 27.7.e","27.7.e","27_7"
"27_7_f","Atlantic, Northeast / 27.7.f","Atlántico, nordeste / 27.7.f","Atlantique, nord-est / 27.7.f","27.7.f","27_7"
"27_7_g","Atlantic, Northeast / 27.7.g","Atlántico, nordeste / 27.7.g","Atlantique, nord-est / 27.7.g","27.7.g","27_7"
"27_7_h","Atlantic, Northeast / 27.7.h","Atlántico, nordeste / 27.7.h","Atlantique, nord-est / 27.7.h","27.7.h","27_7"
"27_7_j","Atlantic, Northeast / 27.7.j","Atlántico, nordeste / 27.7.j","Atlantique, nord-est / 27.7.j","27.7.j","27_7"
"27_7_k","Atlantic, Northeast / 27.7.k","Atlántico, nordeste / 27.7.k","Atlantique, nord-est / 27.7.k","27.7.k","27_7"
"27_8_a","Atlantic, Northeast / 27.8.a","Atlántico, nordeste / 27.8.a","Atlantique, nord-est / 27.8.a","27.8.a","27_8"
"27_8_b","Atlantic, Northeast / 27.8.b","Atlántico, nordeste / 27.8.b","Atlantique, nord-est / 27.8.b","27.8.b","27_8"
"27_8_c","Atlantic, Northeast / 27.8.c","Atlántico, nordeste / 27.8.c","Atlantique, nord-est / 27.8.c","27.8.c","27_8"
"27_8_d","Atlantic, Northeast / 27.8.d","Atlántico, nordeste / 27.8.d","Atlantique, nord-est / 27.8.d","27.8.d","27_8"
"27_8_e","Atlantic, Northeast / 27.8.e","Atlántico, nordeste / 27.8.e","Atlantique, nord-est / 27.8.e","27.8.e","27_8"
"27_9_a","Atlantic, Northeast / 27.9.a","Atlántico, nordeste / 27.9.a","Atlantique, nord-est / 27.9.a","27.9.a","27_9"
"27_9_b","Atlantic, Northeast / 27.9.b","Atlántico, nordeste / 27.9.b","Atlantique, nord-est / 27.9.b","27.9.b","27_9"
"34_1_1","Morocco coastal","Costera de Marruecos","Côtière du Maroc","34.1.1","34_1"
"34_1_2","Canaries/Madeira insular","Insular de Canarias/Madera","Insulaire des Canaries/Madère","34.1.2","34_1"
"34_1_3","Sahara coastal","Costera del Sahara","Côtière du Sahara","34.1.3","34_1"
"34_3_1","Cape Verde coastal","Costera de Cabo Verde","Côtière du Cap-Vert","34.3.1","34_3"
"34_3_2","Cape Verde insular","Insular de Cabo Verde","Insulaire du Cap-Vert","34.3.2","34_3"
"34_3_3","Sherbro","Sherbro","Sherbro","34.3.3","34_3"
"34_3_4","Western Gulf of Guinea","Golfo de Guinea occidental","Golfe de Guinée, ouest","34.3.4","34_3"
"34_3_5","Central Gulf of Guinea","Golfo de Guinea central","Golfe de Guinée, centre","34.3.5","34_3"
"34_3_6","Southern Gulf of Guinea","Golfo de Guinea meridional","Golfe de Guinée, sud","34.3.6","34_3"
"34_4_1","Southwest Gulf of Guinea","Golfo de Guinea sudoccidental","Golfe de Guinée, sud-ouest","34.4.1","34_4"
"34_4_2","Southwest oceanic","Oceánica sudoccidental","Océanique, sud-ouest","34.4.2","34_4"
"37_1_1","Balearic","Baleares","Baléares","37.1.1","37_1"
"37_1_2","Gulf of Lions","Golfo de León","Golfe du Lion","37.1.2","37_1"
"37_1_3","Sardinia","Cerdeña","Sardaigne","37.1.3","37_1"
"37_2_1","Adriatic","Adriático","Adriatique","37.2.1","37_2"
"37_2_2","Ionian","Jónio","Ionienne","37.2.2","37_2"
"37_3_1","Aegean","Egeo","Égée","37.3.1","37_3"
"37_3_2","Levant","Levante","Levant","37.3.2","37_3"
"37_4_1","Marmara Sea","Mar de Mármara","Mer de Marmara","37.4.1","37_4"
"37_4_2","Black Sea","Mar Negro","Mer Noire","37.4.2","37_4"
"37_4_3","Azov Sea","Mar de Azov","Mer d'Azov","37.4.3","37_4"
"41_1_1","Atlantic, Southwest / 41.1.1","Atl SW / 41.1.1","Atl SW / 41.1.1","41.1.1","41_1"
"41_1_2","Atlantic, Southwest / 41.1.2","Atl SW / 41.1.2","Atl SW / 41.1.2","41.1.2","41_1"
"41_1_3","Atlantic, Southwest / 41.1.3","Atl SW / 41.1.3","Atl SW / 41.1.3","41.1.3","41_1"
"41_1_4","Atlantic, Southwest / 41.1.4","Atl SW / 41.1.4","Atl SW / 41.1.4","41.1.4","41_1"
"41_2_1","Atlantic, Southwest / 41.2.1","Atl SW / 41.2.1","Atl SW / 41.2.1","41.2.1","41_2"
"41_2_2","Atlantic, Southwest / 41.2.2","Atl SW / 41.2.2","Atl SW / 41.2.2","41.2.2","41_2"
"41_2_3","Atlantic, Southwest / 41.2.3","Atl SW / 41.2.3","Atl SW / 41.2.3","41.2.3","41_2"
"41_2_4","Atlantic, Southwest / 41.2.4","Atl SW / 41.2.4","Atl SW / 41.2.4","41.2.4","41_2"
"41_3_1","Atlantic, Southwest / 41.3.1","Atl SW / 41.3.1","Atl SW / 41.3.1","41.3.1","41_3"
"41_3_2","Atlantic, Southwest / 41.3.2","Atl SW / 41.3.2","Atl SW / 41.3.2","41.3.2","41_3"
"41_3_3","Atlantic, Southwest / 41.3.3","Atl SW / 41.3.3","Atl SW / 41.3.3","41.3.3","41_3"
"47_1_1","Cape Palmeirinhas","Cabo Palmeirinhas","Cap Palmeirinhas","47.1.1","47_1"
"47_1_2","Cape Salinas","Cabo Salinas","Cap Salinas","47.1.2","47_1"
"47_1_3","Cunene","Cunene","Cunène","47.1.3","47_1"
"47_1_4","Cape Cross","Cabo Cross","Cap Cross","47.1.4","47_1"
"47_1_5","Orange River","Río Orange","Fleuve Orange","47.1.5","47_1"
"47_1_6","Cape of Good Hope","Cabo de Buena Esperanza","Cap de Bonne-Espérance","47.1.6","47_1"
"47_2_1","Middle Agulhas","Agulhas central","Aiguilles, centre","47.2.1","47_2"
"47_2_2","Eastern Agulhas","Agulhas oriental","Aiguilles, est","47.2.2","47_2"
"57_5_1","Indian Ocean, East / 57.5.1","Ind E / 57.5.1","Ind E / 57.5.1","57.5.1","57_5"
"57_5_2","Indian Ocean, East / 57.5.2","Ind E / 57.5.2","Ind E / 57.5.2","57.5.2","57_5"
"58_4_1","Indian Antarctic 58.4.1","Ind Antar 58.4.1","Ind Antar 58.4.1","58.4.1","58_4"
"58_4_2","Indian Antarctic 58.4.2","Ind Antar 58.4.2","Ind Antar 58.4.2","58.4.2","58_4"
"58_4_3","Indian Antarctic 58.4.3","Ind Antar 58.4.3","Ind Antar 58.4.3","58.4.3","58_4"
"58_4_4","Indian Antarctic 58.4.4","Ind Antar 58.4.4","Ind Antar 58.4.4","58.4.4","58_4"
"58_5_1","Indian Antarctic 58.5.1","Ind Antar 58.5.1","Ind Antar 58.5.1","58.5.1","58_5"
"58_5_2","Indian Antarctic 58.5.2","Ind Antar 58.5.2","Ind Antar 58.5.2","58.5.2","58_5"
"27_1_a","Atlantic, Northeast / 27.1.a","Atlántico, nordeste / 27.1.a","Atlantique, nord-est / 27.1.a","27.1.a","27_1"
"27_1_b","Atlantic, Northeast / 27.1.b","Atlántico, nordeste / 27.1.b","Atlantique, nord-est / 27.1.b","27.1.b","27_1"
"27_10_a","Atlantic, Northeast / 27.10.a","Atlántico, nordeste / 27.10.a","Atlantique, nord-est / 27.10.a","27.10.a","27_10"
"27_10_b","Atlantic, Northeast / 27.10.b","Atlántico, nordeste / 27.10.b","Atlantique, nord-est / 27.10.b","27.10.b","27_10"
"27_12_a","Atlantic, Northeast / 27.12.a","Atlántico, nordeste / 27.12.a","Atlantique, nord-est / 27.12.a","27.12.a","27_12"
"27_12_b","Atlantic, Northeast / 27.12.b","Atlántico, nordeste / 27.12.b","Atlantique, nord-est / 27.12.b","27.12.b","27_12"
"27_12_c","Atlantic, Northeast / 27.12.c","Atlántico, nordeste / 27.12.c","Atlantique, nord-est / 27.12.c","27.12.c","27_12"
"87_1_1","Pacific, Southeast / 87.1.1","Pacific, Southeast / 87.1.1","Pacific, Southeast / 87.1.1","87.1.1","87_1"
"87_1_2","Pacific, Southeast / 87.1.2","Pacific, Southeast / 87.1.2","Pacific, Southeast / 87.1.2","87.1.2","87_1"
"87_1_3","Pacific, Southeast / 87.1.3","Pacific, Southeast / 87.1.3","Pacific, Southeast / 87.1.3","87.1.3","87_1"
"87_1_4","Pacific, Southeast / 87.1.4","Pacific, Southeast / 87.1.4","Pacific, Southeast / 87.1.4","87.1.4","87_1"
"87_2_3","87.2.3","87.2.3","87.2.3","87.2.3","87_2"
"87_2_4","87.2.4","87.2.4","87.2.4","87.2.4","87_2"
"87_2_5","87.2.5","87.2.5","87.2.5","87.2.5","87_2"
"87_2_6","87.2.6","87.2.6","87.2.6","87.2.6","87_2"
"87_3_3","87.33","87.33","87.33","87.3.3","87_3"
"87_2_1","Pacific, Southeast / 87.2.1","Pacific, Southeast / 87.2.1","Pacific, Southeast / 87.2.1","87.2.1","87_2"
"87_2_2","Pacific, Southeast / 87.2.2","Pacific, Southeast / 87.2.2","Pacific, Southeast / 87.2.2","87.2.2","87_2"
"87_3_1","Pacific, Southeast / 87.3.1","Pacific, Southeast / 87.3.1","Pacific, Southeast / 87.3.1","87.3.1","87_3"
"87_3_2","Pacific, Southeast / 87.3.2","Pacific, Southeast / 87.3.2","Pacific, Southeast / 87.3.2","87.3.2","87_3"
"47_A_0","SEAFO division A.0","División SEAFO A.0","Division SEAFO A.0","47.A.0","47_X"
"47_A_1","SEAFO division A.1","División SEAFO A.1","Division SEAFO A.1","47.A.1","47_X"
"47_B_0","SEAFO division B.0","División SEAFO B.0","Division SEAFO B.0","47.B.0","47_X"
"47_B_1","SEAFO division B.1","División SEAFO B.1","Division SEAFO B.1","47.B.1","47_X"
"47_C_0","SEAFO division C.0","División SEAFO C.0","Division SEAFO C.0","47.C.0","47_X"
"47_C_1","SEAFO division C.1","División SEAFO C.1","Division SEAFO C.1","47.C.1","47_X"
"47_D_0","SEAFO division D.0","División SEAFO D.0","Division SEAFO D.0","47.D.0","47_X"
"47_D_1","SEAFO division D.1","División SEAFO D.1","Division SEAFO D.1","47.D.1","47_X"
"31_10_1","Atlantic, West central / 31.10.1","Atl WC / 31.10.1","Atl WC / 31.10.1","31.10.1","31_10"
