"Area_Size","CWP_Handbook_Name","Code","Identifier","Latitude_max","Latitude_min","Local_Name","Longitude_max","Longitude_min","Name_En","Name_Es","Name_Fr","Standard_Regional_Code"
"","Southwest of Ireland - West - Part of the Non-NEAFC Area I (Subdivision 27.7.k.2)","27.7.k.2","661","","","","","","Southwest of Ireland - West - Part of the Non-NEAFC Area I (Subdivision 27.7.k.2)","Sudoeste de Irlanda - Oeste Non-CPANE (Subdivisión 27.7.k.2)","Sud-ouest de l'Irlande - Ouest - Partie de non-CPANE (Sous-division 27.7.k.2)","27.7.k.2"
"","Bay of Biscay - Offshore - Parts in NEAFC Regulatory Area (Subdivision 27.8.d.1)","27.8.d.1","662","","","","","","Bay of Biscay - Offshore - Parts in NEAFC Regulatory Area (Subdivision 27.8.d.1)","Golfo de Vizcaya - alta mar - Partes de CPANE (Subdivisión 27.8.d.1)","Golfe de Gascogne - Large - Partie de CPANE (Sous-division 27.8.d.1)","27.8.d.1"
"","Bay of Biscay - Offshore Non-NEAFC Regulatory Area (Subdivision 27.8.d.2)","27.8.d.2","663","","","","","","Bay of Biscay - Offshore Non-NEAFC Regulatory Area (Subdivision 27.8.d.2)","Golfo de Vizcaya - alta mar Non-CPANE (Subdivisión 27.8.d.2)","Golfe de Gascogne - Large - Partie de non-CPANE (Sous-division 27.8.d.2)","27.8.d.2"
"","West of Bay of Biscay - Parts in NEAFC Regulatory Area (Subdivision 27.8.e.1)","27.8.e.1","664","","","","","","West of Bay of Biscay - Parts in NEAFC Regulatory Area (Subdivision 27.8.e.1)","Oeste del Golfo de Vizcaya - Partes de CPANE (Subdivisión 27.8.e.1)","Ouest du golfe de Gascogne - Partie de CPANE (Sous-division 27.8.e.1)","27.8.e.1"
"","West of Bay of Biscay Non-NEAFC Regulatory Area (Subdivision 27.8.e.2)","27.8.e.2","665","","","","","","West of Bay of Biscay Non-NEAFC Regulatory Area (Subdivision 27.8.e.2)","Oeste del Golfo de Vizcaya Non-CPANE (Subdivisión 27.8.e.2)","Ouest du golfe de Gascogne - Partie de non-CPANE (Sous-division 27.8.e.2)","27.8.e.2"
"","Portuguese Waters - West Parts in NEAFC Regulatory Area (Subdivision 27.9.b.1)","27.9.b.1","666","","","","","","Portuguese Waters - West Parts in NEAFC Regulatory Area (Subdivision 27.9.b.1)","Aguas Portuguesas - oeste - Partes de CPANE (Subdivisión 27.9.b.1)","Eaux portugaises - Ouest - Partie de CPANE (Sous-division 27.9.b.1)","27.9.b.1"
"","Portuguese Waters - West Non-NEAFC Regulatory Area (Subdivision 27.9.b.2)","27.9.b.2","667","","","","","","Portuguese Waters - West Non-NEAFC Regulatory Area (Subdivision 27.9.b.2)","Aguas Portuguesas - oeste Non-CPANE (Subdivisión 27.9.b.2)","Eaux portugaises - Ouest - Partie de non-CPANE (Sous-division 27.9.b.2)","27.9.b.2"
"","Azores Grounds - Parts of the NEAFC Regulatory Area (Subdivision 27.10.a.1)","27.10.a.1","669","","","","","","Azores Grounds - Parts of the NEAFC Regulatory Area (Subdivision 27.10.a.1)","Fondos de las Azores - Parte de CPANE (Subdivisión 27.10.a.1)","Fonds des Açores - Partie de CPANE (Sous-division 27.10.a.1)","27.10.a.1"
"","Azores Grounds Non-NEAFC Regulatory Area (Subdivision 27.10.a.2)","27.10.a.2","670","","","","","","Azores Grounds Non-NEAFC Regulatory Area (Subdivision 27.10.a.2)","Fondos de las Azores - Non-CPANE (Subdivisión 27.10.a.2)","Fonds des Açores - Partie de non-CPANE (Sous-division 27.10.a.2)","27.10.a.2"
"","Subdivision 27.12.a.1 - NEAFC Regulatory Area","27.12.a.1","673","","","","","","Subdivision 27.12.a.1 - NEAFC Regulatory Area","Subdivisión 27.12.a.1 - CPANE","Subdivision 27.12.a.1 - CPANE","27.12.a.1"
"","Subdivision 27.12.a.2 - NEAFC Regulatory Area","27.12.a.2","674","","","","","","Subdivision 27.12.a.2 - NEAFC Regulatory Area","Subdivisión 27.12.a.2 - CPANE","Subdivision 27.12.a.2 - CPANE","27.12.a.2"
"","Subdivision 27.12.a.3 Non-NEAFC Regulatory Area","27.12.a.3","675","","","","","","Subdivision 27.12.a.3 Non-NEAFC Regulatory Area","Subdivisión 27.12.a.3 - Non-CPANE","Subdivision 27.12.a.3 non-CPANE","27.12.a.3"
"","Subdivision 27.12.a.4 Non-NEAFC Regulatory Area","27.12.a.4","676","","","","","","Subdivision 27.12.a.4 Non-NEAFC Regulatory Area","Subdivisión 27.12.a.4 - Non-CPANE","Subdivision 27.12.a.4  non-CPANE","27.12.a.4"
"","Southeast Greenland - Parts of NEAFC Regulatory Area (Subdivision 27.14.b.1)","27.14.b.1","679","","","","","","Southeast Greenland - Parts of NEAFC Regulatory Area (Subdivision 27.14.b.1)","Groenlandia sudoriental - Partes de CPANE (Subdivisión 27.14.b.1)","Groenland sud-est - Partie de CPANE (Sous-division 27.14.b.1)","27.14.b.1"
"","Southeast Greenland Non-NEAFC Regulatory Area (Subdivision 27.14.b.2)","27.14.b.2","680","","","","","","Southeast Greenland Non-NEAFC Regulatory Area (Subdivision 27.14.b.2)","Groenlandia sudoriental Non-CPANE (Subdivisión 27.14.b.2)","Groenland sud-est - Partie de non-CPANE (Sous-division 27.14.b.2)","27.14.b.2"
"7079","Subdivision 21.3Pn (Northwestern subdivision)","21.3.P.n","701","47.72","46.83","Burgeo Island","-57.7","-59.59","Atlantic, Northwest / 21.3.P.n","Atl NW / 21.3.P.n","Atl NW / 21.3.P.n","3Pn"
"97722","Subdivision 21.3Ps (Southeastern subdivision)","21.3.P.s","702","47.96","43.04","Grand Bank, St. Pierre Bank, St.Pierre and Miquelon Islands, Burin Peninsula","-53.79","-58.83","Atlantic, Northwest / 21.3.P.s","Atl NW / 21.3.P.s","Atl NW / 21.3.P.s","3Ps"
