"Taxonomic_Code","Identifier","Name_En","Name_Fr","Name_Es","Name_Ar","Name_Cn","Name_Ru","Scientific_Name","Author","Major_Group","Yearbook_Group","ISSCAAP_Group","CPC_Class","CPC_Group"
"10901007XX","2034","Dogfishes nei","Aiguillats nca","Mielgas nep","","","","Squalus spp","","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1090100708","2035","Shortnose spurdog","Aiguillat nez court","Galludo ñato","","","","Squalus megalops","(Macleay 1881)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1090100803","2036","Leafscale gulper shark","Squale-chagrin de l'Atlantique","Quelvacho negro","","","","Centrophorus squamosus","(Bonnaterre 1788)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1090101001","2037","Velvet belly","Sagre commun","Negrito","قِرش فانوس شائع","黑腹鸟鲨","","Etmopterus spinax","(Linnaeus 1758)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1090101006","2038","Smooth lanternshark","Sagre nain","Tollo lucero liso","قِرش فانوس ليِّن","光鳞鸟鲨","","Etmopterus pusillus","(Lowe 1839)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1090101601","2039","Portuguese dogfish","Pailona commun","Pailona","كلب البحر برتغالي شائع","腔鳞荆鲨","Акула португальская","Centroscymnus coelolepis","Bocage & Capello 1864","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1090101602","2040","Longnose velvet dogfish","Pailona à long nez","Sapata negra","كلب البحر برتغالي ذو منقار طويل","长吻荆鲨","Акула длинноносая белоглазая","Centroscymnus crepidater","(Bocage & Capello 1864)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1090101603","2041","Shortnose velvet dogfish","Pailona sans épine","Pailona ñata","كلب البحر وبر قصير الأنف","短吻荆鲨","","Centroscymnus cryptacanthus","Regan 1906","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1090101701","2042","Smallmouth knifetooth dogfish","Squale-grogneur à queue échan.","Bruja bocachica","كلب البحرذو فم صغير و أسنان حادَّة","小口异鳞鲨","","Scymnodon obscurus","(Vaillant 1888)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1090101702","2043","Knifetooth dogfish","Squale-grogneur commun","Bruja","كلب البحر ذو أسنان حادَّة","尖齿异鳞鲨","","Scymnodon ringens","Bocage & Capello 1864","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
