"Alpha3_Code","Author","Family_mapping","Identifier","IsscaapGrp_mapping","Name_Ar","Name_Cn","Name_En","Name_Es","Name_Fr","Name_Ru","Order_mapping","Scientific_Name","Sort","Taxonomic_Code","Unit"
"SYR","Bocage & Capello 1864","SOMNIOSIDAE","2043","38","كلب البحر ذو أسنان حادَّة","尖齿异鳞鲨","Knifetooth dogfish","Bruja","Squale-grogneur commun","","SQUALIFORMES","Scymnodon ringens","38109003002202000","109003002202","t"
"SCK","(Bonnaterre 1788)","DALATIIDAE","2044","38","","","Kitefin shark","Carocho","Squale liche","Далатия (=чёрная пряморотая акула)","SQUALIFORMES","Dalatias licha","38109001001001000","109001001001","t"
"CFB","(Reinhardt 1825)","ETMOPTERIDAE","2045","38","كلب البحر أسود","黑霞鲨","Black dogfish","Tollo negro merga","Aiguillat noir","Акула черная собачья Фабрициуса","SQUALIFORMES","Centroscyllium fabricii","38109002001401000","109002001401","t"
"AGN","(Linnaeus 1758)","SQUATINIDAE","2046","38","","","Angelshark","Angelote","Ange de mer commun","Скватина европейская (=морской ангел)","SQUATINIFORMES","Squatina squatina","38109301001015000","109301001015","t"
"OXN","Frade 1929","OXYNOTIDAE","2047","38","قِرش فظّ زِعنفة قِلع","帆鳍尖背角鲨","Sailfin roughshark","Cerdo marino velero","Humantin","","SQUALIFORMES","Oxynotus paradoxus","38109004001005000","109004001005","t"
"GTF","","RHINOBATIDAE","2048","38","","","Guitarfishes, etc. NEI","Guitarras, etc. NEP","Guitares, etc. NCA","","RHINOPRISTIFORMES","Rhinobatidae","38110301000000000","1103010XXXXX","t"
"GUF","(Garman 1880)","RHINOBATIDAE","2049","38","","","Pacific guitarfish","Guitarra del Pacífico","Poisson-guitare du Pacifique","","RHINOPRISTIFORMES","Pseudobatos planiceps","38110301001406000","110301001406","t"
"SAW","","PRISTIDAE","2050","38","","","Sawfishes","Peces sierra","Poissons-scies","","RHINOPRISTIFORMES","Pristidae","38110304000000000","1103040XXXXX","t"
"RJB","(Linnaeus 1758)","RAJIDAE","2051","38","","","Blue skate","Noriega","Pocheteau gris","","RAJIFORMES","Dipturus batis","38110501003401000","110501003401","t"
"RJR","Donovan 1808","RAJIDAE","2052","38","شِفنين بحري شعاعية","辐鳐","Starry ray","Raya radiante","Raie radiée","","RAJIFORMES","Amblyraja radiata","38110501001105000","110501001105","t"
"RJI","(Couch 1838)","RAJIDAE","2053","38","شفنين بحري دائرية","圆盘鳐","Sandy ray","Raya falsa vela","Raie circulaire","","RAJIFORMES","Leucoraja circularis","38110501003801000","110501003801","t"
"RJE","Montagu 1818","RAJIDAE","2054","38","شِفنين بحري مَمزُوجة","小睛斑鳐","Small-eyed ray","Raya colorada","Raie mêlée","","RAJIFORMES","Raja microocellata","38110501005807000","110501005807","t"
"RJU","Lacépède 1802","RAJIDAE","2055","38","شِفنين بحري أسمرة","波鳐","Undulate ray","Raya mosaica","Raie brunette","","RAJIFORMES","Raja undulata","38110501005814000","110501005814","t"
"RJA","(Lacépède 1803)","RAJIDAE","2056","38","شِنين بحري بيضاء","矛吻鳐","White skate","Raya bramante","Raie blanche","","RAJIFORMES","Rostroraja alba","38110501007002000","110501007002","t"
"RJD","(Mitchill 1825)","RAJIDAE","2057","38","","","Little skate","","Raie hérisson","","RAJIFORMES","Leucoraja erinaceus","38110501003803000","110501003803","t"
"RJL","(Mitchill 1818)","RAJIDAE","2058","38","","","Barndoor skate","","Grande raie","","RAJIFORMES","Dipturus laevis","38110501003411000","110501003411","t"
"BEA","(Günther 1876)","ARHYNCHOBATIDAE","2059","38","","","Eaton's skate","Raya de Eaton","Raie d'Eaton","Скат Итона глубоководный","RAJIFORMES","Bathyraja eatonii","38110502002206000","110502002206","t"
"RJQ","(Jensen 1914)","ARHYNCHOBATIDAE","2060","38","","","Spinetail ray","","Raie à queue épineuse","","RAJIFORMES","Bathyraja spinicauda","38110502002225000","110502002225","t"
"STI","","DASYATIDAE","2061","38","","","Stingrays NEI","Pastinacas NEP","Pastenagues NCA","","MYLIOBATIFORMES","Dasyatis spp","38110803002200000","1108030022XX","t"
"PLS","(Bonaparte 1832)","DASYATIDAE","2062","38","","","Pelagic stingray","Raya-látigo violeta","Pastenague violette","","MYLIOBATIFORMES","Pteroplatytrygon violacea","38110803006601000","110803006601","t"
"MAN","","MOBULIDAE","2063","38","","","Mantas, devil rays NEI","Mantas, diablos NEP","Mantes, diables de mer NCA","","MYLIOBATIFORMES","Mobulidae","38110812000000000","1108120XXXXX","t"
"TOF","","","2064","38","","","Electric rays, etc. NEI","Torpedos, rayas eléctricas NEP","Torpilles, raies él., etc. NCA","","TORPEDINIFORMES","Torpediniformes","38110100000000000","1101XXXXXXXX","t"
"TOE","","TORPEDINIDAE","2065","38","","","Torpedo rays","Tremolinas","Torpilles","","TORPEDINIFORMES","Torpedo spp","38110105001800000","1101050018XX","t"
"RAT","(Lay & Bennett 1839)","CHIMAERIDAE","2066","38","","","Spotted ratfish","Quimera americana","Chimère d'Amérique","","CHIMAERIFORMES","Hydrolagus colliei","38112002001405000","112002001405","t"
"HAR","","RHINOCHIMAERIDAE","2067","38","خُرافات مِسوَطات","扁吻银鲛属一种","Longnose chimaeras","Quimeras-trompudo","Chimères spatules","","CHIMAERIFORMES","Harriotta spp","38112003001000000","1120030010XX","t"
"STU","","ACIPENSERIDAE","2069","21","","鲟类","Sturgeons NEI","Esturiones NEP","Esturgeons NCA","Осетровые","ACIPENSERIFORMES","Acipenseridae","21117001000000000","1170010XXXXX","t"
"APR","Linnaeus 1758","ACIPENSERIDAE","2070","21","","小体鲟","Sterlet sturgeon","Esterlete","Sterlet","Стерлядь","ACIPENSERIFORMES","Acipenser ruthenus","21117001001012000","117001001012","t"
"APE","Pallas 1771","ACIPENSERIDAE","2071","21","","闪光鲟","Starry sturgeon","Esturión estrellado","Esturgeon étoilé","Севрюга","ACIPENSERIFORMES","Acipenser stellatus","21117001001015000","117001001015","t"
"HUH","(Linnaeus 1758)","ACIPENSERIDAE","2072","21","","欧洲鳇","Beluga","Esturión beluga","Béluga","Белуга","ACIPENSERIFORMES","Huso huso","21117001001802000","117001001802","t"
"CLU","","","2073","35","","","Clupeoids NEI","Clupeoideos NEP","Clupéoidés NCA","Сельдевые","CLUPEIFORMES","Clupeiformes (=Clupeoidei)","35121000000000020","1210XXXXXXXX020","t"
"LAD","Linnaeus 1766","ELOPIDAE","2074","33","","","Ladyfish","Malacho","Guinée-machète","","ELOPIFORMES","Elops saurus","33118501001005000","118501001005","t"
"TAR","Valenciennes 1847","MEGALOPIDAE","2075","33","","","Tarpon","Tarpón","Tarpon argenté","","ELOPIFORMES","Megalops atlanticus","33118502001001000","118502001001","t"
"BOF","(Linnaeus 1758)","ALBULIDAE","2076","33","","","Bonefish","Macabí","Banane de mer","Альбула","ALBULIFORMES","Albula vulpes","33119101001003000","119101001003","t"
"DAG","","DOROSOMATIDAE","2077","13","","","Dagaas (=Kapenta)","Dagaas (=Kapenta)","Dagaas (=Kapenta)","","CLUPEIFORMES","Stolothrissa, Limnothrissa spp","13121010100000033","1210101XXXXX033","t"
"HEP","Valenciennes 1847","CLUPEIDAE","2078","35","","","Pacific herring","Arenque del Pacífico","Hareng du Pacifique","Сельдь восточная","CLUPEIFORMES","Clupea pallasii","35121004101002000","121004101002","t"
"SHC","(Eichwald 1838)","ALOSIDAE","2079","24","","","Pontic shad","Sábalo del Mar Negro","Alose de la mer Noire","Сельдь черноморско-азовская","CLUPEIFORMES","Alosa immaculata","24121009101009000","121009101009","t"
"TSD","(Lacépède 1803)","ALOSIDAE","2080","24","","","Twaite shad","Saboga(=Alosa)","Alose feinte","Сельдь-финта","CLUPEIFORMES","Alosa fallax","24121009101008000","121009101008","t"
"ALE","(Wilson 1811)","ALOSIDAE","2081","24","","","Alewife","Pinchagua","Gaspareau","Сероспинка (=элевайф)","CLUPEIFORMES","Alosa pseudoharengus","24121009101013000","121009101013","t"
"BBH","(Mitchill 1814)","ALOSIDAE","2082","24","","","Blueback shad","Sábalo del Canadá","Alose d'été du Canada","","CLUPEIFORMES","Alosa aestivalis","24121009101001000","121009101001","t"
"SHH","(Mitchill 1814)","ALOSIDAE","2083","24","","","Hickory shad","","Alose américaine","","CLUPEIFORMES","Alosa mediocris","24121009101012000","121009101012","t"
"SIX","","DOROSOMATIDAE","2084","35","","","Sardinellas NEI","Sardinelas NEP","Sardinelles NCA","Сардинеллы","CLUPEIFORMES","Sardinella spp","35121010111000000","1210101110XX","t"
"SAG","(Bleeker 1849)","DOROSOMATIDAE","2085","35","","","Goldstripe sardinella","Sardinela dorada","Sardinelle dorée","","CLUPEIFORMES","Sardinella gibbosa","35121010111007000","121010111007","t"
"IOS","Valenciennes 1847","DOROSOMATIDAE","2086","35","","","Indian oil sardine","Sardinela aceitera","Sardinelle indienne","","CLUPEIFORMES","Sardinella longiceps","35121010111010000","121010111010","t"
"FRS","(Valenciennes 1847)","DOROSOMATIDAE","2087","35","","","Fringescale sardinella","Tunsoy","Tunsoy","","CLUPEIFORMES","Sardinella fimbriata","35121010111006000","121010111006","t"
"SAA","Valenciennes 1847","DOROSOMATIDAE","2088","35","","","Round sardinella","Alacha","Allache","Сардинелла круглая (=алаша)","CLUPEIFORMES","Sardinella aurita","35121010111002000","121010111002","t"
"SAE","(Lowe 1838)","DOROSOMATIDAE","2089","35","","","Madeiran sardinella","Machuelo","Grande allache","","CLUPEIFORMES","Sardinella maderensis","35121010111011000","121010111011","t"
"BSR","(Steindachner 1879)","DOROSOMATIDAE","2090","35","","","Brazilian sardinella","Sardinela del Brasil","Sardinelle de Brésil","","CLUPEIFORMES","Sardinella brasiliensis","35121010111004000","121010111004","t"
"CHP","(Jenyns 1842)","ALOSIDAE","2091","35","","","Pacific sardine","Sardina del Pacífico","Sardine du Pacifique","Сардина тихоокеанская","CLUPEIFORMES","Sardinops sagax","35121009102601000","121009102601","t"
"SHG","(Lesueur 1818)","DOROSOMATIDAE","2092","24","","","American gizzard shad","Sábalo molleja","Alose noyer","","CLUPEIFORMES","Dorosoma cepedianum","24121010102601000","121010102601","t"
"MHS","(Spix & Agassiz 1829)","ALOSIDAE","2093","35","","","Brazilian menhaden","Savela","Menhaden du Brésil","","CLUPEIFORMES","Brevoortia aurea","35121009101401000","121009101401","t"
