"Identifier","SWS_Identifier","Scientific_Name","Taxonomic_Code"
"57232","7232","CHIASMODONTIDAE","1525101"
"57233","7233","PERCOPHIDAE","1715101"
"57234","7234","BRACHIONICHTHYIDAE","1850041"
"57235","7235","ANTENNARIIDAE","1850051"
"57236","7236","CHAUNACIDAE","1850101"
"57237","7237","OGCOCEPHALIDAE","1850021"
"57238","7238","CAULOPHRYNIDAE","1850111"
"57239","7239","DICERATIIDAE","1850151"
"57240","7240","HIMANTOLOPHIDAE","1850141"
"57241","7241","ONEIRODIDAE","1850161"
"57242","7242","HETERODONTIDAE","1040010"
"57243","7243","CHLAMYDOSELACHIDAE","1031030"
"57244","7248","PARASCYLLIIDAE","1051020"
"57245","7244","ORECTOLOBIDAE","1051040"
"57246","7247","STEGOSTOMATIDAE","1051060"
"57247","7103","RHINCODONTIDAE","1051010"
"57248","7102","GINGLYMOSTOMATIDAE","1051070"
"57249","7249","MEGACHASMIDAE","1060050"
"57250","7250","MITSUKURINIDAE","1060010"
"57251","7251","PSEUDOCARCHARIIDAE","1060040"
"57252","7252","LEPTOCHARIIDAE","1080050"
"57253","7253","HEMIGALEIDAE","1080070"
"57254","7254","PROSCYLLIIDAE","1080041"
"57255","57255","ETMOPTERIDAE","1090020"
"57256","7256","NARCINIDAE","1101020"
"57257","7257","ANACANTHOBATIDAE","1105040"
"57258","7258","PLESIOBATIDAE","1108070"
"57259","7259","HEXATRYGONIDAE","1108020"
"57260","7260","UROLOPHIDAE","1108080"
"57261","7261","PINGUIPEDIDAE","1798071"
"57262","7262","TRICHONOTIDAE","1501031"
"57263","7263","SIGANIDAE","1820251"
"57264","7264","PRISTIGASTERIDAE","1210071"
"57265","7265","ARTEMIIDAE","2020020"
"57266","7266","POTAMOTRYGONIDAE","1108040"
"57267","7267","NEOCERATODONTIDAE","1970011"
"57268","7268","LEPIDOSIRENIDAE","1970021"
"57269","7269","LATIMERIIDAE","1950010"
"57270","7270","POLYPTERIDAE","1160010"
"57271","7271","AMIIDAE","1172010"
"57272","7272","GIGANTACTINIDAE","1850201"
"57273","7273","NEOCERATIIDAE","1850121"
"57274","7274","CERATIIDAE","1850191"
"57275","7275","LINOPHRYNIDAE","1850211"
"57276","7276","TETRABRACHIIDAE","1850081"
"57277","7277","LOPHICHTHYIDAE","1850091"
"57278","7278","MELANOCETIDAE","1850131"
"57279","7279","CENTROPHRYNIDAE","1850181"
"57280","7280","GOBIESOCIDAE","1670071"
"57281","7281","MICROSTOMATIDAE","1416031"
"57283","7283","LAMPRIDAE","1465010"
"57284","7284","VELIFERIDAE","1465020"
"57285","7285","LOPHOTIDAE","1465030"
"57286","7286","TRACHIPTERIDAE","1465051"
"57287","7287","REGALECIDAE","1465061"
"57288","7288","STYLEPHORIDAE","1480011"
"57289","7289","ATELEOPODIDAE","1453011"
"57292","7292","RADIICEPHALIDAE","1465041"
"57293","7293","PERCOPSIDAE","1471010"
"57294","7294","APHREDODERIDAE","1471020"
"57295","7295","AMBLYOPSIDAE","1471030"
"57296","7296","GYRINOCHEILIDAE","1400011"
"57297","7297","PSILORHYNCHIDAE","1400131"
"57298","7298","BALITORIDAE","1400091"
"57299","7299","ERYTHRINIDAE","1403071"
"57300","7300","CTENOLUCIIDAE","1403171"
"57301","7301","HEPSETIDAE","1403051"
"57302","7302","LEBIASINIDAE","1403161"
"57303","7303","GASTEROPELECIDAE","1403201"
"57304","7304","CURIMATIDAE","1403141"
"57305","7305","HEMIODONTIDAE","1403111"
"57306","7306","CITHARINIDAE","1403011"
"57307","7307","ALESTIDAE","1403041"
"57308","7308","CYNODONTIDAE","1403091"
"57309","7309","ANOSTOMIDAE","1403121"
"57310","7310","DIPLOMYSTIDAE","1410011"
"57311","7311","CRANOGLANIDIDAE","1410321"
"57312","7312","PANGASIIDAE","1410171"
"57313","7313","AMBLYCIPITIDAE","1410151"
"57314","7314","AMPHILIIDAE","1410351"
"57315","7315","AKYSIDAE","1410141"
"57316","7316","SISORIDAE","1410161"
"57317","7317","HETEROPNEUSTIDAE","1410281"
"57318","7318","CHACIDAE","1410091"
"57319","7319","MALAPTERURIDAE","1410361"
"57320","7320","DORADIDAE","1410221"
"57321","7321","AUCHENIPTERIDAE","1410211"
"57322","7322","ASPREDINIDAE","1410201"
"57323","7323","PIMELODIDAE","1410251"
"57327","7327","CETOPSIDAE","1410021"
"57328","7328","TRICHOMYCTERIDAE","1410041"
"57329","7329","CALLICHTHYIDAE","1410051"
"57330","7330","LORICARIIDAE","1410061"
"57333","7333","GYMNOTIDAE","1401031"
"57335","7335","APTERONOTIDAE","1401011"
"57336","7336","HYPOPOMIDAE","1401041"
"57337","7337","RHAMPHICHTHYIDAE","1401051"
"57338","7338","STERNOPYGIDAE","1401021"
"57339","7339","STOMIIDAE","1451041"
"57340","7340","PHOSICHTHYIDAE","1451031"
"57341","7341","PARALEPIDIDAE","1455111"
"57342","7342","OMOSUDIDAE","1455141"
"57343","7343","ALEPISAURIDAE","1455151"
"57344","7344","ANOTOPTERIDAE","1455121"
"57345","7345","EVERMANNELLIDAE","1455131"
"57346","7346","SCOPELARCHIDAE","1455061"
"57347","7347","NOTOSUDIDAE","1455071"
"57348","7348","PSEUDOTRICHONOTIDAE","1455161"
"57349","7349","IPNOPIDAE","1455041"
"57350","7350","STEPHANOBERYCIDAE","1495041"
"57351","7351","MELAMPHAIDAE","1495031"
"57352","7352","GIBBERICHTHYIDAE","1495061"
"57353","7353","DIRETMIDAE","1491011"
"57354","7354","POLYMIXIIDAE","1468010"
"57355","7355","ANOPLOGASTRIDAE","1491051"
"57356","7356","MONOCENTRIDAE","1491021"
"57357","7357","ANOMALOPIDAE","1491031"
"57358","7358","HOLOCENTRIDAE","1495011"
"57359","7359","HISPIDOBERYCIDAE","1495051"
"57360","7360","RONDELETIIDAE","1495071"
"57361","7361","BARBOURISIIDAE","1495081"
"57362","7362","CETOMIMIDAE","1495091"
"57363","7363","PARAZENIDAE","1475031"
"57364","7364","ZENIONTIDAE","1475041"
"57365","7365","GRAMMICOLEPIDIDAE","1475051"
"57366","7366","PEGASIDAE","1510011"
"57367","7367","HYPOPTYCHIDAE","1745401"
"57368","7368","AULORHYNCHIDAE","1745421"
"57369","7369","AULOSTOMIDAE","1510061"
"57370","7370","FISTULARIIDAE","1510071"
"57371","7371","CENTRISCIDAE","1510081"
"57372","7372","SOLENOSTOMIDAE","1510091"
"57373","7373","SYNGNATHIDAE","1510101"
"57374","7374","MASTACEMBELIDAE","1531011"
"57375","7375","CHAUDHURIIDAE","1531021"
"57379","7379","HOPLICHTHYIDAE","1725191"
"57380","7380","CONGIOPODIDAE","1725261"
"57383","7383","PSYCHROLUTIDAE","1735351"
"57384","7384","AGONIDAE","1735361"
"57385","7385","DACTYLOPTERIDAE","1510021"
"57386","7386","RHAMPHOCOTTIDAE","1735321"
"57387","7387","BEMBRIDAE","1725211"
"57392","7392","SYNANCEIIDAE","1725221"
"57394","7394","ZANIOLEPIDIDAE","1735301"
"57397","7397","PSEUDOCHROMIDAE","1670011"
"57398","7398","GRAMMATIDAE","1670051"
"57399","7399","PLESIOPIDAE","1670021"
"57400","7400","GLAUCOSOMATIDAE","1800091"
"57401","7401","POLYPRIONIDAE","1800071"
"57402","7402","KUHLIIDAE","1795051"
"57403","7403","MALACANTHIDAE","1820131"
"57404","7404","MENIDAE","1555251"
"57405","7405","ECHENEIDAE","1556291"
"57406","7406","LOBOTIDAE","1820091"
"57407","7407","MONODACTYLIDAE","1820101"
"57408","7408","PEMPHERIDAE","1800101"
"57409","7409","LEPTOBRAMIDAE","1553221"
"57410","7410","BATHYCLUPEIDAE","1800201"
"57411","7411","TOXOTIDAE","1553231"
"57412","7412","ENOPLOSIDAE","1795136"
"57413","7413","PENTACEROTIDAE","1800141"
"57414","7414","EPIGONIDAE","1800051"
"57415","7415","NANDIDAE","1541061"
"57416","7416","OPLEGNATHIDAE","1795081"
"57417","7417","EMBIOTOCIDAE","1670041"
"57418","7418","CIRRHITIDAE","1795171"
"57419","7419","CHIRONEMIDAE","1795181"
"57420","7420","APLODACTYLIDAE","1795191"
"57421","7421","CEPOLIDAE","1820271"
"57422","7422","ODACIDAE","1797031"
"57423","7423","OPISTOGNATHIDAE","1670061"
"57424","7424","POMACANTHIDAE","1820151"
"57425","7425","NEMATISTIIDAE","1554241"
"57427","7427","AMBASSIDAE","1650006"
"57428","7428","DREPANEIDAE","1820041"
"57429","7429","CALLANTHIIDAE","1820211"
"57431","7431","DINOPERCIDAE","1820071"
"57432","7432","BOVICHTIDAE","1715111"
"57433","7433","SCOMBROPIDAE","1800011"
"57434","7434","CENTROGENYIDAE","1797011"
"57435","7435","PARASCORPIDIDAE","1795161"
